label,text_adv,text_ele,adv_ele
s1024,"Ultimately, McKinlay believes, its essential that humans remain able to take control of their navigation.",McKinlay believes humans must still able to take control of their navigation.,"Ultimately, McKinlay believes, its essential that humans remain able to take control of their navigation.
 |<endoflevelone>| 
McKinlay believes humans must still able to take control of their navigation."
s1025,La Premiere chose quon regarde (The First Thing We Look At) by Gregoire Delacourt tells the story of a French model who looks so similar to the American actor that the books lead male character thinks it is Johansson herself.,La premiere chose quon regarde (The First Thing We Look At) by Gregoire Delacourt is the story of a French model who looks so similar to the American actor that the books main male character thinks she is Johansson.,"La Premiere chose quon regarde (The First Thing We Look At) by Gregoire Delacourt tells the story of a French model who looks so similar to the American actor that the books lead male character thinks it is Johansson herself.
 |<endoflevelone>| 
La premiere chose quon regarde (The First Thing We Look At) by Gregoire Delacourt is the story of a French model who looks so similar to the American actor that the books main male character thinks she is Johansson."
s1026,"In the novel, the models looks mean that men see her only as a sex object, while women are jealous of her.","In the novel, the models beauty means that men see her only as a sex object and women are jealous of her.","In the novel, the models looks mean that men see her only as a sex object, while women are jealous of her.
 |<endoflevelone>| 
In the novel, the models beauty means that men see her only as a sex object and women are jealous of her."
s1027,"She has a series of adventures as Johansson until she is eventually found out and, in the end, dies in a car crash.","She has many adventures as Johansson and, in the end, dies in a car crash.","She has a series of adventures as Johansson until she is eventually found out and, in the end, dies in a car crash.
 |<endoflevelone>| 
She has many adventures as Johansson and, in the end, dies in a car crash."
s1028,"Delacourt has become one of Frances best-loved authors; his previous novel, My List of Desires, was translated into 47 languages and is now being adapted into a  lm.","Delacourt is one of Frances best-loved authors; his last novel, My List of Desires, was translated into 47 languages and they are making a  lm of it.","Delacourt has become one of Frances best-loved authors; his previous novel, My List of Desires, was translated into 47 languages and is now being adapted into a  lm.
 |<endoflevelone>| 
Delacourt is one of Frances best-loved authors; his last novel, My List of Desires, was translated into 47 languages and they are making a  lm of it."
s1029,"I wrote a real love story and a homage to feminine beauty, especially interior beauty.","I wrote a real love story about womens beauty, especially interior beauty.","I wrote a real love story and a homage to feminine beauty, especially interior beauty.
 |<endoflevelone>| 
I wrote a real love story about womens beauty, especially interior beauty."
s103,"Alexs vision, energy and ability have built teams  both on and off the pitch  that his successor can count on as among the best and most loyal in world sport.","Alexs vision, energy and ability have built teams that are some of the best and most loyal in world sport.","Alexs vision, energy and ability have built teams  both on and off the pitch  that his successor can count on as among the best and most loyal in world sport.
 |<endoflevelone>| 
Alexs vision, energy and ability have built teams that are some of the best and most loyal in world sport."
s1030,"I thought she might send me  owers as it was a declaration of love for her, but she didnt understand, Delacourt said.","I thought she might send me  owers because the book was a declaration of love for her, but she didnt understand, Delacourt said.       ","I thought she might send me  owers as it was a declaration of love for her, but she didnt understand, Delacourt said.
 |<endoflevelone>| 
I thought she might send me  owers because the book was a declaration of love for her, but she didnt understand, Delacourt said.       "
s1031,"All were tested between 2007 and 2010 on three different measures of  tness: stamina, handgrip strength and lower-body power.","All were tested between 2007 and 2010 on three different things: stamina, handgrip strength and lower-body power.","All were tested between 2007 and 2010 on three different measures of  tness: stamina, handgrip strength and lower-body power.
 |<endoflevelone>| 
All were tested between 2007 and 2010 on three different things: stamina, handgrip strength and lower-body power."
s1032,"The results revealed that a childs month of birth could make signi cant differences to their levels of cardiovascular  tness, muscle strength and ability to accelerate, all of which predict how good someone is at sport, in which such attributes are vital.","The results showed that a childs month of birth could make big differences to their levels of  tness, muscle strength and ability to accelerate, all of which predict how good someone is at sport.","The results revealed that a childs month of birth could make signi cant differences to their levels of cardiovascular  tness, muscle strength and ability to accelerate, all of which predict how good someone is at sport, in which such attributes are vital.
 |<endoflevelone>| 
The results showed that a childs month of birth could make big differences to their levels of  tness, muscle strength and ability to accelerate, all of which predict how good someone is at sport."
s1033,"Those born in October were almost as  t, scoring highest for strength and coming third for power, with December children close behind.","Children born in October were almost as  t  they scored highest for strength and came third for power, with December children close behind.","Those born in October were almost as  t, scoring highest for strength and coming third for power, with December children close behind.
 |<endoflevelone>| 
Children born in October were almost as  t  they scored highest for strength and came third for power, with December children close behind."
s1034,The gap in physical prowess between children in the same class but born in different months was sometimes very wide.,The gap in physical ability between children in the same class but born in different months was sometimes very wide.,"The gap in physical prowess between children in the same class but born in different months was sometimes very wide.
 |<endoflevelone>| 
The gap in physical ability between children in the same class but born in different months was sometimes very wide."
s1035,"This is, potentially, a huge physical advantage, said Sandercock.","This is a huge physical advantage, said Sandercock.","This is, potentially, a huge physical advantage, said Sandercock.
 |<endoflevelone>| 
This is a huge physical advantage, said Sandercock."
s1036,"Such gaps could ultimately decide who became a top-level athlete because, as the paper says, selection into elite sports may often depend on very small margins or differences in an individuals physical performance.",These gaps could decide who became a top-level athlete because selection into elite sports may often depend on very small differences in a persons physical performance.,"Such gaps could ultimately decide who became a top-level athlete because, as the paper says, selection into elite sports may often depend on very small margins or differences in an individuals physical performance.
 |<endoflevelone>| 
These gaps could decide who became a top-level athlete because selection into elite sports may often depend on very small differences in a persons physical performance."
s1037,"The  ndings seem to show that children born in the early months of the school year enjoy a double autumn advantage  they are already known to have an academic advantage and, now, they also appear to be better equipped for sport, too.","The  ndings seem to show that children born in the early months of the school year enjoy a double autumn advantage  we already know that they have an academic advantage and, now, they also seem to be better at sport, too.","The  ndings seem to show that children born in the early months of the school year enjoy a double autumn advantage  they are already known to have an academic advantage and, now, they also appear to be better equipped for sport, too.
 |<endoflevelone>| 
The  ndings seem to show that children born in the early months of the school year enjoy a double autumn advantage  we already know that they have an academic advantage and, now, they also seem to be better at sport, too."
s1038,"Children that get a high-quality  rst experience, which develops their physical literacy, are those that will have greater agility, balance and coordination, and are more likely to develop an enjoyment of physical activity and excel in sport as they grow up, he said.","Children that get a high-quality  rst experience will have greater agility, balance and coordination, and are more likely to develop an enjoyment of physical activity and be good at sport as they grow up, he said.","Children that get a high-quality  rst experience, which develops their physical literacy, are those that will have greater agility, balance and coordination, and are more likely to develop an enjoyment of physical activity and excel in sport as they grow up, he said.
 |<endoflevelone>| 
Children that get a high-quality  rst experience will have greater agility, balance and coordination, and are more likely to develop an enjoyment of physical activity and be good at sport as they grow up, he said."
s1039,"As soon as the children at one primary school in Stirling hear the words daily mile, they down their pencils and head out of the classroom to start running laps around the school  eld.","As soon as the children at a primary school in Stirling, Scotland, hear the words daily mile, they leave the classroom and start running around the school  eld.","As soon as the children at one primary school in Stirling hear the words daily mile, they down their pencils and head out of the classroom to start running laps around the school  eld.
 |<endoflevelone>| 
As soon as the children at a primary school in Stirling, Scotland, hear the words daily mile, they leave the classroom and start running around the school  eld."
s104,What he has done for this club and for the game in general will never be forgotten.,We will never forget what he has done for this club and for the game in general.,"What he has done for this club and for the game in general will never be forgotten.
 |<endoflevelone>| 
We will never forget what he has done for this club and for the game in general."
s1040,"For three-and-a-half years, all pupils at St Ninians Primary have walked or run a mile each day.","For three-and-a-half years, all the pupils at St Ninians Primary School have walked or run a mile each day.","For three-and-a-half years, all pupils at St Ninians Primary have walked or run a mile each day.
 |<endoflevelone>| 
For three-and-a-half years, all the pupils at St Ninians Primary School have walked or run a mile each day."
s1041,The thought of children across the country running every day because of something weve done is phenomenal.,The thought of children across the country running every day because of something weve done is amazing.,"The thought of children across the country running every day because of something weve done is phenomenal.
 |<endoflevelone>| 
The thought of children across the country running every day because of something weve done is amazing."
s1042,"In Stirling alone, 30 schools have already started or are to start the daily mile.","Just in Stirling, 30 schools have already started or are going to start the daily mile.","In Stirling alone, 30 schools have already started or are to start the daily mile.
 |<endoflevelone>| 
Just in Stirling, 30 schools have already started or are going to start the daily mile."
s1043,"The most important thing is that the children really enjoy it; otherwise, you couldnt sustain it.",The most important thing is that the children really enjoy it.,"The most important thing is that the children really enjoy it; otherwise, you couldnt sustain it.
 |<endoflevelone>| 
The most important thing is that the children really enjoy it."
s1044,"At St Ninians, teachers take their pupils out of lessons on to a specially built circuit around the schools playing  eld for their daily mile whenever it best suits that days timetable.","At St Ninians, teachers take their pupils out of lessons to the schools playing  eld for their daily mile at a time that suits that days timetable.","At St Ninians, teachers take their pupils out of lessons on to a specially built circuit around the schools playing  eld for their daily mile whenever it best suits that days timetable.
 |<endoflevelone>| 
At St Ninians, teachers take their pupils out of lessons to the schools playing  eld for their daily mile at a time that suits that days timetable."
s1045,"The extent of the bene ts have yet to be determined but researchers from Stirling University have launched a comparative study to look for quantitative evidence of the physical, cognitive and emotional bene ts of the daily mile.","Researchers from Stirling University have begun a study to look for evidence of the physical, cognitive and emotional bene ts of the daily mile.","The extent of the bene ts have yet to be determined but researchers from Stirling University have launched a comparative study to look for quantitative evidence of the physical, cognitive and emotional bene ts of the daily mile.
 |<endoflevelone>| 
Researchers from Stirling University have begun a study to look for evidence of the physical, cognitive and emotional bene ts of the daily mile."
s1046,"Paralympian, Tanni Grey-Thompson, chair of ukactive, the UKs leading not-for-pro t health body for physical activity, said: All children need to achieve 60 active minutes every day, whether in a lesson, on the walk to school or in the playground.","Paralympian, Tanni Grey-Thompson, chair of ukactive, a health organization for physical activity, said: All children need to achieve 60 active minutes every day  this can be in a lesson, on the walk to school or in the playground.","Paralympian, Tanni Grey-Thompson, chair of ukactive, the UKs leading not-for-pro t health body for physical activity, said: All children need to achieve 60 active minutes every day, whether in a lesson, on the walk to school or in the playground.
 |<endoflevelone>| 
Paralympian, Tanni Grey-Thompson, chair of ukactive, a health organization for physical activity, said: All children need to achieve 60 active minutes every day  this can be in a lesson, on the walk to school or in the playground."
s1047,We know sitting still kills; not sitting still helps children build skills that will stay with them for life.,We know sitting still kills; not sitting still helps children build skills that will help them for the rest of their lives.,"We know sitting still kills; not sitting still helps children build skills that will stay with them for life.
 |<endoflevelone>| 
We know sitting still kills; not sitting still helps children build skills that will help them for the rest of their lives."
s1048,The Scottish government is also supportive.,The Scottish government also supports the idea.,"The Scottish government is also supportive.
 |<endoflevelone>| 
The Scottish government also supports the idea."
s1049,"In what Mason called the  rst city-scale genetic pro le ever, his team found meningitis at Times Square, a trace of anthrax on the handhold of a train carriage and bacteria that cause bubonic plague on a rubbish bin and ticket machine at stations in uptown Manhattan.","His team found meningitis at Times Square, a trace of anthrax on a train carriage and bacteria that cause plague on a rubbish bin and ticket machine at stations in uptown Manhattan.","In what Mason called the  rst city-scale genetic pro le ever, his team found meningitis at Times Square, a trace of anthrax on the handhold of a train carriage and bacteria that cause bubonic plague on a rubbish bin and ticket machine at stations in uptown Manhattan.
 |<endoflevelone>| 
His team found meningitis at Times Square, a trace of anthrax on a train carriage and bacteria that cause plague on a rubbish bin and ticket machine at stations in uptown Manhattan."
s105,It has been the greatest experience of my working life being alongside Alex and a great honour to be able to call him a friend.,Working with Alex has been the greatest experience of my working life and it is a great honour to be able to call him a friend.,"It has been the greatest experience of my working life being alongside Alex and a great honour to be able to call him a friend.
 |<endoflevelone>| 
Working with Alex has been the greatest experience of my working life and it is a great honour to be able to call him a friend."
s1050,"All around the subway, bacteria associated with cheeses  brie, cheddar, parmesan and the mozzarella of ubiquitous New York pizza  turned up.","All around the subway, there were bacteria from cheeses  brie, cheddar, parmesan and the mozzarella found on New York pizza.","All around the subway, bacteria associated with cheeses  brie, cheddar, parmesan and the mozzarella of ubiquitous New York pizza  turned up.
 |<endoflevelone>| 
All around the subway, there were bacteria from cheeses  brie, cheddar, parmesan and the mozzarella found on New York pizza."
s1051,"The distinctive bacteria of Swiss cheese were more localized to midtown Manhattan and the  nancial district, and the bacteria used to ferment cabbage for kimchi and sauerkraut showed up in the  nancial district and Bay Ridge.","The bacteria of Swiss cheese were found in midtown Manhattan and the  nancial district, and the bacteria used to make kimchi and sauerkraut showed up in the  nancial district and Bay Ridge.","The distinctive bacteria of Swiss cheese were more localized to midtown Manhattan and the  nancial district, and the bacteria used to ferment cabbage for kimchi and sauerkraut showed up in the  nancial district and Bay Ridge.
 |<endoflevelone>| 
The bacteria of Swiss cheese were found in midtown Manhattan and the  nancial district, and the bacteria used to make kimchi and sauerkraut showed up in the  nancial district and Bay Ridge."
s1052,"Species that cause diarrhoea and nausea, both benign and bad E.coli (mostly benign), and the bacteria that can cause skin infections and urinary-tract infections were common all over the city.","Bacteria that cause diarrhoea and nausea, as well as E.coli, and the bacteria that can cause skin infections and urinary-tract infections were common all over the city.","Species that cause diarrhoea and nausea, both benign and bad E.coli (mostly benign), and the bacteria that can cause skin infections and urinary-tract infections were common all over the city.
 |<endoflevelone>| 
Bacteria that cause diarrhoea and nausea, as well as E.coli, and the bacteria that can cause skin infections and urinary-tract infections were common all over the city."
s1053,"He said he hoped the research would provide a baseline of research for health of cials and geneticists, and could help health of cials to be better prepared to prevent and track diseases and pathogens. ",He said he hoped the research would help health of cials to prevent and track diseases.       ,"He said he hoped the research would provide a baseline of research for health of cials and geneticists, and could help health of cials to be better prepared to prevent and track diseases and pathogens. 
 |<endoflevelone>| 
He said he hoped the research would help health of cials to prevent and track diseases.       "
s1054,"The yes campaign scored four big successes, winning 53% of the vote in Scotlands largest city, Glasgow, 57% in Dundee and 51% in North Lanarkshire.","The yes campaign had four big successes  it won 53% of the vote in Scotlands largest city, Glasgow, 57% in Dundee and 51% in North Lanarkshire.","The yes campaign scored four big successes, winning 53% of the vote in Scotlands largest city, Glasgow, 57% in Dundee and 51% in North Lanarkshire.
 |<endoflevelone>| 
The yes campaign had four big successes  it won 53% of the vote in Scotlands largest city, Glasgow, 57% in Dundee and 51% in North Lanarkshire."
s1055,"We have heard the voice of Scotland and, now, the millions of voices of England must be heard, he said.","We have heard the voice of Scotland and, now, we must hear the millions of voices of England, he said.","We have heard the voice of Scotland and, now, the millions of voices of England must be heard, he said.
 |<endoflevelone>| 
We have heard the voice of Scotland and, now, we must hear the millions of voices of England, he said."
s1056,"Ed Miliband, the Labour leader, said the referendum was a vote from the Scottish people for change.","Ed Miliband, the leader of the Labour Party, said the referendum was a vote from the Scottish people for change.","Ed Miliband, the Labour leader, said the referendum was a vote from the Scottish people for change.
 |<endoflevelone>| 
Ed Miliband, the leader of the Labour Party, said the referendum was a vote from the Scottish people for change."
s1057,We know our country needs to change in the way it is governed and we know our country needs to change in who it is governed for.,We know our country needs to change.,"We know our country needs to change in the way it is governed and we know our country needs to change in who it is governed for.
 |<endoflevelone>| 
We know our country needs to change."
s1058,Theyve been left out of all of this for the last 18 years.,Theyve not been a part of this for the last 18 years.,"Theyve been left out of all of this for the last 18 years.
 |<endoflevelone>| 
Theyve not been a part of this for the last 18 years."
s1059,"We will continue to  ght with the facts because the facts are on our side, he said recently on a conference call with journalists and analysts.","We will continue to  ght with the facts because the facts are on our side, he said.","We will continue to  ght with the facts because the facts are on our side, he said recently on a conference call with journalists and analysts.
 |<endoflevelone>| 
We will continue to  ght with the facts because the facts are on our side, he said."
s106,"The Seattle-based company has applied for its brand to be a top-level domain name (currently .com), but the South American governments argue this would prevent the use of this internet address for environmental protection, the promotion of indigenous rights and other public interest uses.","Amazon has asked for its company name to be a top-level domain name (currently .com), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses.","The Seattle-based company has applied for its brand to be a top-level domain name (currently .com), but the South American governments argue this would prevent the use of this internet address for environmental protection, the promotion of indigenous rights and other public interest uses.
 |<endoflevelone>| 
Amazon has asked for its company name to be a top-level domain name (currently .com), but the South American governments say this would stop the use of this internet address for environmental protection, indigenous rights and other public interest uses."
s1060,Already in the pipeline are plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins in a naturalistic setting.,There are already plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins.,"Already in the pipeline are plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins in a naturalistic setting.
 |<endoflevelone>| 
There are already plans for a new shark exhibition in Orlando and an attraction in San Antonio that will allow customers to swim with dolphins."
s1061,"SeaWorlds shares, which were worth $39 in 2013, were changing hands for just under $18 in August 2015. ","SeaWorlds shares, which were worth $39 in 2013, fell to just under $18 in August 2015.    ","SeaWorlds shares, which were worth $39 in 2013, were changing hands for just under $18 in August 2015. 
 |<endoflevelone>| 
SeaWorlds shares, which were worth $39 in 2013, fell to just under $18 in August 2015.    "
s1062,"Stratford remained hugely important throughout Shakespeares life, argues Paul Edmondson, the head of learning and research at the Shakespeare Birthplace Trust.","Stratford was important to Shakespeare all his life, says Paul Edmondson, the head of learning and research at the Shakespeare Birthplace Trust.","Stratford remained hugely important throughout Shakespeares life, argues Paul Edmondson, the head of learning and research at the Shakespeare Birthplace Trust.
 |<endoflevelone>| 
Stratford was important to Shakespeare all his life, says Paul Edmondson, the head of learning and research at the Shakespeare Birthplace Trust."
s1063,"But Stratford is where he bought land and property, where he kept his library, where he lived and read and thought.","But Stratford is where he bought land and houses, where he kept his library, where he lived and read and thought.","But Stratford is where he bought land and property, where he kept his library, where he lived and read and thought.
 |<endoflevelone>| 
But Stratford is where he bought land and houses, where he kept his library, where he lived and read and thought."
s1064,"The anniversary of the death of the man from Stratford, the most famous and the most performed playwright in the world, will be marked across Britain and the globe.","The anniversary of the death of the man from Stratford, the most famous and the most performed playwright in the world, will be celebrated across Britain and the world.","The anniversary of the death of the man from Stratford, the most famous and the most performed playwright in the world, will be marked across Britain and the globe.
 |<endoflevelone>| 
The anniversary of the death of the man from Stratford, the most famous and the most performed playwright in the world, will be celebrated across Britain and the world."
s1065,"Macbeth will open in Singapore, Romeo and Juliet in Brussels.",There will be performances of Macbeth in Singapore and Romeo and Juliet in Brussels.,"Macbeth will open in Singapore, Romeo and Juliet in Brussels.
 |<endoflevelone>| 
There will be performances of Macbeth in Singapore and Romeo and Juliet in Brussels."
