index,text,level,difficulty,n_sent,n_syll,n_lex,lex_sent,syll_lex,text_c
10,"Argentina has lodged an expression of its unhappiness that the US outdoor clothing retailer, Patagonia, is claiming a domain name that has been known far longer as a region of spectacular beauty that also has its own parliament.",adv,32.91,1,61,38,38.0,1.605263157894737,"['argentina', 'ha', 'lodg', 'express', 'unhappi', 'us', 'outdoor', 'cloth', 'retail', 'patagonia', 'claim', 'domain', 'name', 'ha', 'known', 'far', 'longer', 'region', 'spectacular', 'beauti', 'also', 'ha', 'parliament']"
11,"Argentina is unhappy that the US outdoor clothing retailer, Patagonia, wants a domain name that has been known far longer as a region of spectacular beauty.",ele,45.09,1,42,26,26.0,1.6153846153846154,"['argentina', 'unhappi', 'us', 'outdoor', 'cloth', 'retail', 'patagonia', 'want', 'domain', 'name', 'ha', 'known', 'far', 'longer', 'region', 'spectacular', 'beauti']"
12,"Argentina rejects the .patagonia request for a new generic top-level domain, the government notes in an appeal.",adv,45.76,1,29,17,17.0,1.7058823529411764,"['argentina', 'reject', 'patagonia', 'request', 'new', 'gener', 'toplevel', 'domain', 'govern', 'note', 'appeal']"
13,Argentina rejects the .patagonia request for a new generic top-level domain.,ele,43.39,1,20,11,11.0,1.8181818181818181,"['argentina', 'reject', 'patagonia', 'request', 'new', 'gener', 'toplevel', 'domain']"
14,"Patagonia is a relevant region for the countrys economy because it has oil, fishing, mining and agriculture resources.",adv,36.28,1,32,18,18.0,1.7777777777777777,"['patagonia', 'relev', 'region', 'countri', 'economi', 'becaus', 'ha', 'oil', 'fish', 'mine', 'agricultur', 'resourc']"
15,"Patagonia is an important region for the countrys economy because it has oil, fishing, mining and agriculture resources.",ele,36.28,1,32,18,18.0,1.7777777777777777,"['patagonia', 'import', 'region', 'countri', 'economi', 'becaus', 'ha', 'oil', 'fish', 'mine', 'agricultur', 'resourc']"
16,"But Bartho Boer, a spokesman for the Mayor, denies that the plans are illiberal.",adv,74.19,1,19,14,14.0,1.3571428571428572,"['bartho', 'boer', 'spokesman', 'mayor', 'deni', 'plan', 'illiber']"
17,"Bartho Boer, a spokesman for the Mayor, says that the plans are not illiberal.",ele,82.65,1,18,14,14.0,1.2857142857142858,"['bartho', 'boer', 'spokesman', 'mayor', 'say', 'plan', 'illiber']"
18,We want everyone to be who he and she is  whether they are gay and lesbian or stand up to violence and are then victims of harassment.,adv,69.45,1,36,27,27.0,1.3333333333333333,"['want', 'everyon', 'whether', 'gay', 'lesbian', 'stand', 'violenc', 'victim', 'harass']"
19,We want everyone to be who he and she is  whether they are gay and lesbian or try to stop violence and are then victims of harassment.,ele,69.45,1,36,27,27.0,1.3333333333333333,"['want', 'everyon', 'whether', 'gay', 'lesbian', 'tri', 'stop', 'violenc', 'victim', 'harass']"
20,We as a society want to defend them.,adv,80.28,1,11,8,8.0,1.375,"['societi', 'want', 'defend']"
21,We want to defend them.,ele,100.24,1,6,5,5.0,1.2,"['want', 'defend']"
22,"It would be more accurate to call them scum houses than scum villages, says Boer, because we dont want to put more than one of these families in the same area.",adv,73.85,1,38,31,31.0,1.2258064516129032,"['would', 'accur', 'call', 'scum', 'hous', 'scum', 'villag', 'say', 'boer', 'becaus', 'dont', 'want', 'put', 'one', 'famili', 'area']"
23,"They are scum houses not scum villages, says Boer, because we dont want to put more than one of these families in the same area.",ele,79.94,1,30,25,25.0,1.2,"['scum', 'hous', 'scum', 'villag', 'say', 'boer', 'becaus', 'dont', 'want', 'put', 'one', 'famili', 'area']"
24,"They are taken care of so the whole situation is not going to repeat at the new house they are in, says Boer. ",adv,73.51,1,30,23,23.0,1.3043478260869565,"['taken', 'care', 'whole', 'situat', 'go', 'repeat', 'new', 'hous', 'say', 'boer']"
25,"We will take care of them so the whole situation is not going to repeat at the new house they are in, says Boer. ",ele,72.5,1,30,24,24.0,1.25,"['take', 'care', 'whole', 'situat', 'go', 'repeat', 'new', 'hous', 'say', 'boer']"
26,"She has now exploded into the public consciousness with an album and a huge hit single, Show das Poderosas, which topped the charts and attracted 52 million YouTube views.",adv,58.96,1,40,29,29.0,1.3793103448275863,"['ha', 'explod', 'public', 'conscious', 'album', 'huge', 'hit', 'singl', 'show', 'da', 'poderosa', 'top', 'chart', 'attract', 'million', 'youtub', 'view']"
27,"She now has an album and a huge hit single, Show das Poderosas, which was number one in the charts and attracted 52 million YouTube views.",ele,78.93,1,32,26,26.0,1.2307692307692308,"['ha', 'album', 'huge', 'hit', 'singl', 'show', 'da', 'poderosa', 'wa', 'number', 'one', 'chart', 'attract', 'million', 'youtub', 'view']"
28,This is a sensitive topic in this largely mixed-raced nation.,adv,61.33,1,16,10,10.0,1.6,"['thi', 'sensit', 'topic', 'thi', 'larg', 'mixedrac', 'nation']"
29,This is a sensitive topic in this mixed-raced country.,ele,62.34,1,14,9,9.0,1.5555555555555556,"['thi', 'sensit', 'topic', 'thi', 'mixedrac', 'countri']"
30,"In Brazilian cities, white workers earn roughly twice as much as those of African descent.",adv,81.63,1,19,15,15.0,1.2666666666666666,"['brazilian', 'citi', 'white', 'worker', 'earn', 'roughli', 'twice', 'much', 'african', 'descent']"
31,"In Brazilian cities, white workers earn twice as much as workers of African descent.",ele,82.65,1,18,14,14.0,1.2857142857142858,"['brazilian', 'citi', 'white', 'worker', 'earn', 'twice', 'much', 'worker', 'african', 'descent']"
32,"Maycon de Mattos Batista, a financial analyst who worked with Anitta while she was an intern, said there had been a huge change in Anittas image, but not of her colour.",adv,65.39,1,41,31,31.0,1.3225806451612903,"['maycon', 'de', 'matto', 'batista', 'financi', 'analyst', 'work', 'anitta', 'wa', 'intern', 'said', 'huge', 'chang', 'anitta', 'imag', 'colour']"
33,"Maycon de Mattos Batista, a financial analyst who used to work with Anitta, said there has been a huge change in Anittas image, but not of her colour.",ele,68.44,1,37,28,28.0,1.3214285714285714,"['maycon', 'de', 'matto', 'batista', 'financi', 'analyst', 'use', 'work', 'anitta', 'said', 'ha', 'huge', 'chang', 'anitta', 'imag', 'colour']"
34,"I dont believe its whitening; its more the way they are producing her with makeup, hairstylists and the way she dresses, he said.",adv,73.51,1,31,23,23.0,1.3478260869565217,"['dont', 'believ', 'whiten', 'way', 'produc', 'makeup', 'hairstylist', 'way', 'dress', 'said']"
35,"I dont believe she is whiter; its more the makeup, hairstylists and the way she dresses, he said.",ele,78.59,1,23,18,18.0,1.2777777777777777,"['dont', 'believ', 'whiter', 'makeup', 'hairstylist', 'way', 'dress', 'said']"
36,Oxfam said the worlds poorest could be lifted out of poverty several times over if the richest 100 billionaires would give away the money they made in 2012.,adv,59.98,1,38,28,28.0,1.3571428571428572,"['oxfam', 'said', 'world', 'poorest', 'could', 'lift', 'poverti', 'sever', 'time', 'richest', 'billionair', 'would', 'give', 'away', 'money', 'made']"
37,Oxfam said the world could end poverty several times over if the richest 100 billionaires would give away the money they made in 2012.,ele,72.5,1,32,24,24.0,1.3333333333333333,"['oxfam', 'said', 'world', 'could', 'end', 'poverti', 'sever', 'time', 'richest', 'billionair', 'would', 'give', 'away', 'money', 'made']"
38,"In China, the top 10% now take home nearly 60% of the income.",adv,92.12,1,16,13,13.0,1.2307692307692308,"['china', 'top', 'take', 'home', 'nearli', 'incom']"
39,"In China, the top 10% now earn nearly 60% of the income.",ele,84.68,1,15,12,12.0,1.25,"['china', 'top', 'earn', 'nearli', 'incom']"
40,"Chinese inequality levels are now similar to those in South Africa, which is now the most unequal country on Earth and significantly more unequal than at the end of apartheid.",adv,49.49,1,44,30,30.0,1.4666666666666666,"['chines', 'inequ', 'level', 'similar', 'south', 'africa', 'unequ', 'countri', 'earth', 'significantli', 'unequ', 'end', 'apartheid']"
41,"Chinese inequality levels are now similar to those in South Africa, which is now the most unequal country on Earth.",ele,59.64,1,29,20,20.0,1.45,"['chines', 'inequ', 'level', 'similar', 'south', 'africa', 'unequ', 'countri', 'earth']"
42,"In the US, the share of national income going to the top 1% has doubled since 1980 from 10 to 20%, the report says.",adv,72.5,1,30,24,24.0,1.25,"['us', 'share', 'nation', 'incom', 'go', 'top', 'ha', 'doubl', 'sinc', 'report', 'say']"
43,"In the US, the share of national income that goes to the top 1% of people has doubled since 1980 from 10% to 20%, the report says.",ele,77.91,1,33,27,27.0,1.2222222222222223,"['us', 'share', 'nation', 'incom', 'goe', 'top', 'peopl', 'ha', 'doubl', 'sinc', 'report', 'say']"
44,"Oxfam said world leaders should learn from countries such as Brazil, which has grown rapidly while reducing inequality.",adv,61.67,1,27,18,18.0,1.5,"['oxfam', 'said', 'world', 'leader', 'learn', 'countri', 'brazil', 'ha', 'grown', 'rapidli', 'reduc', 'inequ']"
45,"Oxfam said world leaders should learn from countries such as Brazil, which has grown quickly and reduced inequality at the same time.",ele,66.07,1,30,22,22.0,1.3636363636363635,"['oxfam', 'said', 'world', 'leader', 'learn', 'countri', 'brazil', 'ha', 'grown', 'quickli', 'reduc', 'inequ', 'time']"
46,"She said closing tax havens, which the Tax Justice Network says hold as much as $31 trillion, or as much as a third of all global wealth, could yield $189bn in additional tax revenues. ",adv,62.35,1,44,34,34.0,1.2941176470588236,"['said', 'close', 'tax', 'tax', 'justic', 'network', 'say', 'hold', 'much', 'trillion', 'much', 'third', 'global', 'wealth', 'could', 'yield', 'bn', 'addit', 'tax', 'revenu']"
47,"She said closing tax havens, which hold as much as $31 trillion, or as much as a third of all global wealth, could collect $189bn in additional taxes.       ",ele,51.52,1,43,28,28.0,1.5357142857142858,"['said', 'close', 'tax', 'hold', 'much', 'trillion', 'much', 'third', 'global', 'wealth', 'could', 'collect', 'bn', 'addit', 'tax']"
48,"Back in 2005, when BlackBerry brought instant messaging to the mobile phone, the company was just entering its boom times.",adv,59.64,1,30,20,20.0,1.5,"['back', 'blackberri', 'brought', 'instant', 'messag', 'mobil', 'phone', 'compani', 'wa', 'enter', 'boom', 'time']"
49,"In 2005, BlackBerry brought instant messaging to the mobile phone and the company was just entering its period of success.",ele,42.72,1,33,20,20.0,1.65,"['blackberri', 'brought', 'instant', 'messag', 'mobil', 'phone', 'compani', 'wa', 'enter', 'period', 'success']"
50,"Free to download and use, they use the internet to swap text messages, pictures, voice clips, stickers, and even videos in WhatsApps case, between most types of phones.",adv,68.44,1,36,28,28.0,1.2857142857142858,"['free', 'download', 'use', 'use', 'internet', 'swap', 'text', 'messag', 'pictur', 'voic', 'clip', 'sticker', 'even', 'video', 'whatsapp', 'case', 'type', 'phone']"
51,"They are free to download and use, and they use the internet to swap text messages, pictures, voice clips, stickers and even videos between most types of phones.",ele,68.44,1,35,28,28.0,1.25,"['free', 'download', 'use', 'use', 'internet', 'swap', 'text', 'messag', 'pictur', 'voic', 'clip', 'sticker', 'even', 'video', 'type', 'phone']"
52,"The move to bring BlackBerry to the iPhone is four or five years too late, says James Gooderson, an 18-year-old student who blogs on technology.",adv,71.48,1,33,25,25.0,1.32,"['move', 'bring', 'blackberri', 'iphon', 'four', 'five', 'year', 'late', 'say', 'jame', 'gooderson', 'yearold', 'student', 'blog', 'technolog']"
53,"The move to bring BlackBerry to the iPhone is four or five years too late, says James Gooderson, a technology blogger.",ele,67.08,1,29,21,21.0,1.380952380952381,"['move', 'bring', 'blackberri', 'iphon', 'four', 'five', 'year', 'late', 'say', 'jame', 'gooderson', 'technolog', 'blogger']"
54,"BBM claims 80 million monthly users after its upgrade, but WhatsApp has 300 million.",adv,74.19,1,20,14,14.0,1.4285714285714286,"['bbm', 'claim', 'million', 'monthli', 'user', 'upgrad', 'whatsapp', 'ha', 'million']"
55,"BBM says it has 80 million monthly users after its upgrade, but WhatsApp has 300 million.",ele,72.16,1,22,16,16.0,1.375,"['bbm', 'say', 'ha', 'million', 'monthli', 'user', 'upgrad', 'whatsapp', 'ha', 'million']"
56,Even the contacts and calendar sharing that BBM made possible on BlackBerry handsets have not migrated to the Apple and Android versions.,adv,49.15,1,36,22,22.0,1.6363636363636365,"['even', 'contact', 'calendar', 'share', 'bbm', 'made', 'possibl', 'blackberri', 'handset', 'migrat', 'appl', 'android', 'version']"
57,Even the contacts and calendar sharing that BBM made possible on BlackBerry phones are not on the Apple and Android versions.,ele,58.62,1,32,21,21.0,1.5238095238095237,"['even', 'contact', 'calendar', 'share', 'bbm', 'made', 'possibl', 'blackberri', 'phone', 'appl', 'android', 'version']"
58,"Nearly 80% of young smartphone owners regularly use a social networking application, says the research firm Enders Analysis, but two-thirds use more than one.",adv,38.66,1,40,24,24.0,1.6666666666666667,"['nearli', 'young', 'smartphon', 'owner', 'regularli', 'use', 'social', 'network', 'applic', 'say', 'research', 'firm', 'ender', 'analysi', 'twothird', 'use', 'one']"
59,Nearly 80% of young smartphone owners regularly use a social networking application but two-thirds use more than one.,ele,44.75,1,30,18,18.0,1.6666666666666667,"['nearli', 'young', 'smartphon', 'owner', 'regularli', 'use', 'social', 'network', 'applic', 'twothird', 'use', 'one']"
60,"Its a much more complex, multifaceted environment, says Benedict Evans, a digital media specialist at Enders.",adv,29.86,1,30,16,16.0,1.875,"['much', 'complex', 'multifacet', 'environ', 'say', 'benedict', 'evan', 'digit', 'media', 'specialist', 'ender']"
61,"Its much more complex, says Benedict Evans, a digital media specialist.",ele,60.31,1,18,11,11.0,1.6363636363636365,"['much', 'complex', 'say', 'benedict', 'evan', 'digit', 'media', 'specialist']"
62,"He keeps his BlackBerry for messaging, uses an iPhone over wi-fi to play games and makes phone calls on an HTC-branded Android phone.",adv,73.51,1,30,23,23.0,1.3043478260869565,"['keep', 'hi', 'blackberri', 'messag', 'use', 'iphon', 'wifi', 'play', 'game', 'make', 'phone', 'call', 'htcbrand', 'android', 'phone']"
63,"He keeps his BlackBerry for messaging, he uses an iPhone to play games, and he makes phone calls on an Android phone.",ele,74.53,1,28,22,22.0,1.2727272727272727,"['keep', 'hi', 'blackberri', 'messag', 'use', 'iphon', 'play', 'game', 'make', 'phone', 'call', 'android', 'phone']"
64,South American Indians have chewed coca 3 leaves for centuries.,adv,61.33,1,16,10,10.0,1.6,"['south', 'american', 'indian', 'chew', 'coca', 'leav', 'centuri']"
65,South American Indians have chewed coca 3 leaves for hundreds of years.,ele,67.76,1,18,12,12.0,1.5,"['south', 'american', 'indian', 'chew', 'coca', 'leav', 'hundr', 'year']"
66,The right of indigenous communities in South 6 Americas Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed up to the convention.,adv,39.0,1,51,32,32.0,1.59375,"['right', 'indigen', 'commun', 'south', 'america', 'andean', 'region', 'chew', 'coca', 'leaf', 'wa', 'remov', 'bolivia', 'wa', 'dictatorship', 'sign', 'convent']"
67,The right of indigenous people in South 6 Americas Andean region to chew coca leaf was removed in 1964 when Bolivia was under a dictatorship and it signed the convention.,ele,41.03,1,47,30,30.0,1.5666666666666667,"['right', 'indigen', 'peopl', 'south', 'america', 'andean', 'region', 'chew', 'coca', 'leaf', 'wa', 'remov', 'bolivia', 'wa', 'dictatorship', 'sign', 'convent']"
68,The growing of coca leaves is legal and licensed 12 in Bolivia.,adv,76.22,1,17,12,12.0,1.4166666666666667,"['grow', 'coca', 'leav', 'legal', 'licens', 'bolivia']"
69,It is legal to grow coca leaves in Bolivia.,ele,87.72,1,12,9,9.0,1.3333333333333333,"['legal', 'grow', 'coca', 'leav', 'bolivia']"
70,"The figures, released by the Chartered Management Institute (CMI), reveal that men in UK management roles earned average bonuses of 6,442 in 2012 compared with 3,029 for women.",adv,51.52,1,43,28,28.0,1.5357142857142858,"['figur', 'releas', 'charter', 'manag', 'institut', 'cmi', 'reveal', 'men', 'uk', 'manag', 'role', 'earn', 'averag', 'bonus', 'compar', 'women']"
71,"The numbers, released by the Chartered Management Institute (CMI), show that men in UK management jobs earned average bonuses of 6,442 in 2012  compared with 3,029 for women.",ele,51.52,1,43,28,28.0,1.5357142857142858,"['number', 'releas', 'charter', 'manag', 'institut', 'cmi', 'show', 'men', 'uk', 'manag', 'job', 'earn', 'averag', 'bonus', 'compar', 'women']"
72,"In the most senior roles, female directors received bonuses of 36,270 over the past 12 months, compared with 63,700 awarded to male directors.",adv,65.05,1,33,23,23.0,1.434782608695652,"['senior', 'role', 'femal', 'director', 'receiv', 'bonus', 'past', 'month', 'compar', 'award', 'male', 'director']"
73,"Female directors received bonuses of 36,270 over the past 12 months, compared with 63,700 received by male directors.",ele,61.67,1,27,18,18.0,1.5,"['femal', 'director', 'receiv', 'bonus', 'past', 'month', 'compar', 'receiv', 'male', 'director']"
74,"There must be something wrong with this country, said Nadia al Husin, holding up a banner calling on the government to do more for education.",adv,63.02,1,36,25,25.0,1.44,"['must', 'someth', 'wrong', 'thi', 'countri', 'said', 'nadia', 'al', 'husin', 'hold', 'banner', 'call', 'govern', 'educ']"
75,"There must be something wrong with this country, said Nadia al Husin.",ele,84.68,1,15,12,12.0,1.25,"['must', 'someth', 'wrong', 'thi', 'countri', 'said', 'nadia', 'al', 'husin']"
76,"At a far smaller rally in Brasilia, demonstrators broke through police lines to enter the high-security area of the national congress.",adv,41.7,1,35,21,21.0,1.6666666666666667,"['far', 'smaller', 'ralli', 'brasilia', 'demonstr', 'broke', 'polic', 'line', 'enter', 'highsecur', 'area', 'nation', 'congress']"
77,"At a smaller rally in Brasilia, demonstrators entered the high-security area of the national congress.",ele,30.87,1,28,15,15.0,1.8666666666666667,"['smaller', 'ralli', 'brasilia', 'demonstr', 'enter', 'highsecur', 'area', 'nation', 'congress']"
78,"In Belo Horizonte, police clashed with protesters who tried to break through a cordon around a football stadium hosting a Confederations Cup match between Nigeria and Tahiti.",adv,35.61,1,45,27,27.0,1.6666666666666667,"['belo', 'horizont', 'polic', 'clash', 'protest', 'tri', 'break', 'cordon', 'around', 'footbal', 'stadium', 'host', 'confeder', 'cup', 'match', 'nigeria', 'tahiti']"
79,"In Belo Horizonte, police clashed with protesters who tried to get into a football stadium, where there was a Confederations Cup match between Nigeria and Tahiti.",ele,36.63,1,43,26,26.0,1.6538461538461537,"['belo', 'horizont', 'polic', 'clash', 'protest', 'tri', 'get', 'footbal', 'stadium', 'wa', 'confeder', 'cup', 'match', 'nigeria', 'tahiti']"
80,"But now Brazil is once again in crisis, with a constant rise in prices, so people are finally reacting.",adv,69.11,1,26,19,19.0,1.368421052631579,"['brazil', 'onc', 'crisi', 'constant', 'rise', 'price', 'peopl', 'final', 'react']"
81,"But now Brazil once again has problems, with a constant rise in prices, so people are finally reacting.",ele,70.13,1,25,18,18.0,1.3888888888888888,"['brazil', 'onc', 'ha', 'problem', 'constant', 'rise', 'price', 'peopl', 'final', 'react']"
82,"Brazilians tend to be too nice sometimes  they enjoy partying rather than protesting  but something is changing, said Deli Borsari, a 53-year-old yoga instructor.",adv,47.12,1,38,24,24.0,1.5833333333333333,"['brazilian', 'tend', 'nice', 'sometim', 'enjoy', 'parti', 'rather', 'protest', 'someth', 'chang', 'said', 'deli', 'borsari', 'yearold', 'yoga', 'instructor']"
83,"Brazilians are usually too nice; they enjoy partying, not protesting, but something is changing, said Deli Borsari, a 53-year-old yoga teacher.",ele,50.16,1,33,21,21.0,1.5714285714285714,"['brazilian', 'usual', 'nice', 'enjoy', 'parti', 'protest', 'someth', 'chang', 'said', 'deli', 'borsari', 'yearold', 'yoga', 'teacher']"
84,"Footage showed frightened Japanese supporters rushing from the area holding their children, as the sound of shots  perhaps rubber bullets or tear gas  was heard.",adv,54.56,1,38,25,25.0,1.52,"['footag', 'show', 'frighten', 'japanes', 'support', 'rush', 'area', 'hold', 'children', 'sound', 'shot', 'perhap', 'rubber', 'bullet', 'tear', 'ga', 'wa', 'heard']"
85,"Frightened Japanese supporters ran from the area holding their children, when they heard shots  perhaps rubber bullets or tear gas.",ele,51.18,1,31,20,20.0,1.55,"['frighten', 'japanes', 'support', 'ran', 'area', 'hold', 'children', 'heard', 'shot', 'perhap', 'rubber', 'bullet', 'tear', 'ga']"
86,"Another protest march, near Rios Maracana Stadium, was met with a similarly heavy police response.",adv,47.79,1,25,15,15.0,1.6666666666666667,"['anoth', 'protest', 'march', 'near', 'rio', 'maracana', 'stadium', 'wa', 'met', 'similarli', 'heavi', 'polic', 'respons']"
87,"Another protest march, near Rios Maracana Stadium, also had a heavy police response.",ele,58.28,1,21,13,13.0,1.6153846153846154,"['anoth', 'protest', 'march', 'near', 'rio', 'maracana', 'stadium', 'also', 'heavi', 'polic', 'respons']"
88,Health warnings covering nearly two-thirds of cigarette packs and a ban on menthol cigarettes across the EU have come a step nearer following a vote in the European Parliament.,adv,42.04,1,45,29,29.0,1.5517241379310345,"['health', 'warn', 'cover', 'nearli', 'twothird', 'cigarett', 'pack', 'ban', 'menthol', 'cigarett', 'across', 'eu', 'come', 'step', 'nearer', 'follow', 'vote', 'european', 'parliament']"
89,The European Parliament have said that health warnings will cover nearly two-thirds of cigarette packs and there will be a ban on menthol cigarettes in the EU.,ele,60.99,1,39,27,27.0,1.4444444444444444,"['european', 'parliament', 'said', 'health', 'warn', 'cover', 'nearli', 'twothird', 'cigarett', 'pack', 'ban', 'menthol', 'cigarett', 'eu']"
90,"However, we are disappointed with the decision to reject the proposal to regulate nicotine-containing products (NCPs), including e-cigarettes, as medicines.",adv,25.8,1,38,20,20.0,1.9,"['howev', 'disappoint', 'decis', 'reject', 'propos', 'regul', 'nicotinecontain', 'product', 'ncp', 'includ', 'ecigarett', 'medicin']"
91,"But we are disappointed with the decision not to regulate nicotine-containing products (NCPs), including e-cigarettes, as medicines.",ele,37.3,1,30,17,17.0,1.7647058823529411,"['disappoint', 'decis', 'regul', 'nicotinecontain', 'product', 'ncp', 'includ', 'ecigarett', 'medicin']"
92,Figures show smoking levels in England are at their lowest since records began  19.5 per cent  but we are determined to further reduce rates of smoking and believe this important step will help.,adv,46.44,1,49,33,33.0,1.4848484848484849,"['figur', 'show', 'smoke', 'level', 'england', 'lowest', 'sinc', 'record', 'began', 'per', 'cent', 'determin', 'reduc', 'rate', 'smoke', 'believ', 'thi', 'import', 'step', 'help']"
93,Smoking levels in England are at their lowest since records began  19.5 per cent  but we want to reduce the numbers of people smoking even more and believe this important step will help.,ele,54.9,1,47,33,33.0,1.4242424242424243,"['smoke', 'level', 'england', 'lowest', 'sinc', 'record', 'began', 'per', 'cent', 'want', 'reduc', 'number', 'peopl', 'smoke', 'even', 'believ', 'thi', 'import', 'step', 'help']"
94,"The MEPs voted to put health warnings on 65% of each cigarette pack, as opposed to a proposed 75%.",adv,77.57,1,25,19,19.0,1.3157894736842106,"['mep', 'vote', 'put', 'health', 'warn', 'cigarett', 'pack', 'oppos', 'propos']"
95,The MEPs voted to put health warnings on 65% of each cigarette pack.,ele,83.66,1,17,13,13.0,1.3076923076923077,"['mep', 'vote', 'put', 'health', 'warn', 'cigarett', 'pack']"
96,"Maria van der Hoeven, Executive Director of the IEA, said: Coals share of the global energy mix continues to grow each year and, if no changes are made to current policies, coal will catch oil within a decade.",adv,49.83,1,52,38,38.0,1.368421052631579,"['maria', 'van', 'der', 'hoeven', 'execut', 'director', 'iea', 'said', 'coal', 'share', 'global', 'energi', 'mix', 'continu', 'grow', 'year', 'chang', 'made', 'current', 'polici', 'coal', 'catch', 'oil', 'within', 'decad']"
97,"Maria van der Hoeven, Executive Director of the IEA, said that the amount of coal we use continues to grow each year and, if no changes are made, coal will catch oil within ten years.",ele,61.33,1,44,35,35.0,1.2571428571428571,"['maria', 'van', 'der', 'hoeven', 'execut', 'director', 'iea', 'said', 'amount', 'coal', 'use', 'continu', 'grow', 'year', 'chang', 'made', 'coal', 'catch', 'oil', 'within', 'ten', 'year']"
98,"According to the IEA, demand from China and India will drive world coal use in the coming five years, with India likely to overtake the US as the worlds second biggest consumer.",adv,55.92,1,44,32,32.0,1.375,"['accord', 'iea', 'demand', 'china', 'india', 'drive', 'world', 'coal', 'use', 'come', 'five', 'year', 'india', 'like', 'overtak', 'us', 'world', 'second', 'biggest', 'consum']"
99,"The IEA says that China and India will drive world coal use in the next five years, and India will probably overtake the US as the worlds second biggest consumer.",ele,66.41,1,39,30,30.0,1.3,"['iea', 'say', 'china', 'india', 'drive', 'world', 'coal', 'use', 'next', 'five', 'year', 'india', 'probabl', 'overtak', 'us', 'world', 'second', 'biggest', 'consum']"
