label,text_ele,text_int,int_ele
s1007,"Uta Frith, who studies autism at University College London, said: According to this study, oxytocin may make faces more interesting.","Uta Frith, who studies autism at University College London, said: According to this study, oxytocin may have the effect of making faces more interesting.","Uta Frith, who studies autism at University College London, said: According to this study, oxytocin may have the effect of making faces more interesting.
 |<endoflevelone>| 
Uta Frith, who studies autism at University College London, said: According to this study, oxytocin may make faces more interesting."
s1008,James Bond is not slowing down.,But James Bond shows no signs of slowing down.,"But James Bond shows no signs of slowing down.
 |<endoflevelone>| 
James Bond is not slowing down."
s1009,"So, there was a lot of interest when they announced more details about the 24th Bond film  especially its title, Spectre.","For this reason, there was a lot of interest surrounding the announcement of a few more details about the 24th Bond film  especially its official title, Spectre.","For this reason, there was a lot of interest surrounding the announcement of a few more details about the 24th Bond film  especially its official title, Spectre.
 |<endoflevelone>| 
So, there was a lot of interest when they announced more details about the 24th Bond film  especially its title, Spectre."
s101,My goal is to bring together people who really want a family and a partner  and wholl stay together.,My goal is to pair up people who really want a family and a partner  and wholl stay together.,"My goal is to pair up people who really want a family and a partner  and wholl stay together.
 |<endoflevelone>| 
My goal is to bring together people who really want a family and a partner  and wholl stay together."
s1010,The number one question is: can Spectre be as successful as Skyfall?,The number one question is: can Spectre repeat Skyfalls success?,"The number one question is: can Spectre repeat Skyfalls success?
 |<endoflevelone>| 
The number one question is: can Spectre be as successful as Skyfall?"
s1011,It was both modern and retro.,It was simultaneously modern and retro.,"It was simultaneously modern and retro.
 |<endoflevelone>| 
It was both modern and retro."
s1012,"Daniel Craig fans liked it and, also, older, more nostalgic Bond fans, who lost interest over the previous few films.","It appealed to fans of Daniel Craig and it also engaged the older, more nostalgic Bond fans, who may have lost interest over the previous few films.","It appealed to fans of Daniel Craig and it also engaged the older, more nostalgic Bond fans, who may have lost interest over the previous few films.
 |<endoflevelone>| 
Daniel Craig fans liked it and, also, older, more nostalgic Bond fans, who lost interest over the previous few films."
s1013,Actors like Fiennes will only be in a film if they like the director.,Actors like Fiennes will only agree to be in a film if they like the director.,"Actors like Fiennes will only agree to be in a film if they like the director.
 |<endoflevelone>| 
Actors like Fiennes will only be in a film if they like the director."
s1014,"According to Gant, the period of Roger Moores last films and Daltons films didnt excite audiences.","According to Gant, the period of Roger Moores last films, and the Dalton period, didnt really excite audiences.","According to Gant, the period of Roger Moores last films, and the Dalton period, didnt really excite audiences.
 |<endoflevelone>| 
According to Gant, the period of Roger Moores last films and Daltons films didnt excite audiences."
s1015,"Benjamin Carle is 96.9% made in France, even his underpants and socks.","Benjamin Carle is 96.9% made in France, including even his underpants and socks.","Benjamin Carle is 96.9% made in France, including even his underpants and socks.
 |<endoflevelone>| 
Benjamin Carle is 96.9% made in France, even his underpants and socks."
s1016,"He got the idea after the Minister for Economic Renewal, Arnaud Montebourg, asked the French people to buy French products.","He got the idea after the Minister for Economic Renewal, Arnaud Montebourg, asked the French people to buy French products to save the countrys industrial production sector.","He got the idea after the Minister for Economic Renewal, Arnaud Montebourg, asked the French people to buy French products to save the countrys industrial production sector.
 |<endoflevelone>| 
He got the idea after the Minister for Economic Renewal, Arnaud Montebourg, asked the French people to buy French products."
s1017,"For the experiment, Carle had to give up his smartphone, television, refrigerator (all made in China); his glasses (Italian); his morning coffee (Guatemalan) and his favourite David Bowie music (British).","For the experiment, Carle had to give up his smartphone, television, refrigerator (all made in China); his glasses (Italian); his underpants (Moroccan); morning coffee (Guatemalan) and his favourite David Bowie music (British).","For the experiment, Carle had to give up his smartphone, television, refrigerator (all made in China); his glasses (Italian); his underpants (Moroccan); morning coffee (Guatemalan) and his favourite David Bowie music (British).
 |<endoflevelone>| 
For the experiment, Carle had to give up his smartphone, television, refrigerator (all made in China); his glasses (Italian); his morning coffee (Guatemalan) and his favourite David Bowie music (British)."
s1018,"Without a refrigerator (none are made in France), he had to chill his food on the window ledge.","Left without a refrigerator (none are made in France), he was forced to chill his food on the window ledge.","Left without a refrigerator (none are made in France), he was forced to chill his food on the window ledge.
 |<endoflevelone>| 
Without a refrigerator (none are made in France), he had to chill his food on the window ledge."
s1019,"When he stayed home, with no sofa for the first few months and no television, he listened to French singer Michel Sardou and read French novels.","Staying home, with no sofa for the first few months and no television, meant listening to French singer Michel Sardou and reading French novels.","Staying home, with no sofa for the first few months and no television, meant listening to French singer Michel Sardou and reading French novels.
 |<endoflevelone>| 
When he stayed home, with no sofa for the first few months and no television, he listened to French singer Michel Sardou and read French novels."
s102,Im a romantic.,Im a romantic at heart.,"Im a romantic at heart.
 |<endoflevelone>| 
Im a romantic."
s1020,"His computer was replaced by a Qooq, a tablet that connects  slowly  to the internet and the iPhone, which he swapped for an old Sagem mobile.","The last things to go were the computer, replaced by a Qooq, a recipe tablet that connects  slowly  to the internet and the iPhone, which he swapped for an old Sagem mobile.","The last things to go were the computer, replaced by a Qooq, a recipe tablet that connects  slowly  to the internet and the iPhone, which he swapped for an old Sagem mobile.
 |<endoflevelone>| 
His computer was replaced by a Qooq, a tablet that connects  slowly  to the internet and the iPhone, which he swapped for an old Sagem mobile."
s1021,He even asked a French language expert to check if he should use the word cool and other English words  the expert told him swap it for the nearest French alternative: chouette.,"At one point, he asked a French language expert to check if he should use cool and other English words  he was advised to swap it for the nearest French equivalent: chouette.","At one point, he asked a French language expert to check if he should use cool and other English words  he was advised to swap it for the nearest French equivalent: chouette.
 |<endoflevelone>| 
He even asked a French language expert to check if he should use the word cool and other English words  the expert told him swap it for the nearest French alternative: chouette."
s1022,"Carles conclusion: Its not entirely possible to live 100% made in France, particularly in terms of new technology.","Carles conclusion: Its not entirely possible or even desirable to live 100% made in France, particularly in terms of new technology.","Carles conclusion: Its not entirely possible or even desirable to live 100% made in France, particularly in terms of new technology.
 |<endoflevelone>| 
Carles conclusion: Its not entirely possible to live 100% made in France, particularly in terms of new technology."
s1023,"It was trying to show that we should think about the way we buy and make different choices, and that is the same in all countries.","It was trying to show that we should reflect about the way we buy and make different choices, and that applies in all countries.","It was trying to show that we should reflect about the way we buy and make different choices, and that applies in all countries.
 |<endoflevelone>| 
It was trying to show that we should think about the way we buy and make different choices, and that is the same in all countries."
s1024,"If we want to save jobs and industries, we should support them.","If we want to save jobs and industries, wherever we are, we might think about supporting them.","If we want to save jobs and industries, wherever we are, we might think about supporting them.
 |<endoflevelone>| 
If we want to save jobs and industries, we should support them."
s1025,A T-shirt is more expensive in France but I can be sure it has been made by workers who are correctly paid and have good working conditions.,A T-shirt is more expensive in France but I can be sure it has been produced by workers who are correctly paid and have good working conditions.,"A T-shirt is more expensive in France but I can be sure it has been produced by workers who are correctly paid and have good working conditions.
 |<endoflevelone>| 
A T-shirt is more expensive in France but I can be sure it has been made by workers who are correctly paid and have good working conditions."
s1026,"The group plans to send a lander and satellite to Mars in 2018, followed by a rover in 2020 and cargo missions starting in 2022.","The official timeline for the mission says the group plans to send a stationary lander and satellite to Mars in 2018, followed by a rover in 2020 and cargo missions starting in 2022.","The official timeline for the mission says the group plans to send a stationary lander and satellite to Mars in 2018, followed by a rover in 2020 and cargo missions starting in 2022.
 |<endoflevelone>| 
The group plans to send a lander and satellite to Mars in 2018, followed by a rover in 2020 and cargo missions starting in 2022."
s1027,The astronauts will not return to Earth.,They would not return to Earth.,"They would not return to Earth.
 |<endoflevelone>| 
The astronauts will not return to Earth."
s1028,He talked about the selection process in more detail: I have not met anyone from Mars One.,He talked about the selection process in more detail: I have not met anyone from Mars One in person.,"He talked about the selection process in more detail: I have not met anyone from Mars One in person.
 |<endoflevelone>| 
He talked about the selection process in more detail: I have not met anyone from Mars One."
s1029,"To me, that sounded like a proper astronaut selection process.","In my mind, that sounded like a proper astronaut selection process.","In my mind, that sounded like a proper astronaut selection process.
 |<endoflevelone>| 
To me, that sounded like a proper astronaut selection process."
s103,"Danes have no problem having children before marriage so things can move fast and, because the countrys so small, someone from Jutland can date someone from Copenhagen without too much travel, Limal said.","Danes have no problem having children before marriage so things can move fast and, because the countrys so small, a Jutlander can date a Copenhagener without too much travel, Limal said.","Danes have no problem having children before marriage so things can move fast and, because the countrys so small, a Jutlander can date a Copenhagener without too much travel, Limal said.
 |<endoflevelone>| 
Danes have no problem having children before marriage so things can move fast and, because the countrys so small, someone from Jutland can date someone from Copenhagen without too much travel, Limal said."
s1030,But it changed from a proper regional interview over several days to a ten-minute Skype call.,"But, all of a sudden, it changed from being a proper regional interview over several days to being a ten-minute Skype call.","But, all of a sudden, it changed from being a proper regional interview over several days to being a ten-minute Skype call.
 |<endoflevelone>| 
But it changed from a proper regional interview over several days to a ten-minute Skype call."
s1031,"He then said that, If a one-way mission to Mars ever became possible, I would always volunteer.","He went on to say that, If a one-way mission to Mars ever became possible, I would always volunteer.","He went on to say that, If a one-way mission to Mars ever became possible, I would always volunteer.
 |<endoflevelone>| 
He then said that, If a one-way mission to Mars ever became possible, I would always volunteer."
s1032,"And so, like many others in Silicon Valley, the 27-year-old has started a business: BetterBoyfriend.me, a service that sends girlfriends and wives a present every month for about $70.","And so, like many others in Silicon Valley, the 27-year-old venture capitalist has come up with a start-up: BetterBoyfriend.me, a service that sends girlfriends and wives a present every month for about $70.","And so, like many others in Silicon Valley, the 27-year-old venture capitalist has come up with a start-up: BetterBoyfriend.me, a service that sends girlfriends and wives a present every month for about $70.
 |<endoflevelone>| 
And so, like many others in Silicon Valley, the 27-year-old has started a business: BetterBoyfriend.me, a service that sends girlfriends and wives a present every month for about $70."
s1033,"Each month, Sullivans clients choose from a list of seven possible gifts (chocolate, tea sets, etc).","Each month, Sullivans members choose from a list of seven possible gifts (chocolate, tea sets, manicures).","Each month, Sullivans members choose from a list of seven possible gifts (chocolate, tea sets, manicures).
 |<endoflevelone>| 
Each month, Sullivans clients choose from a list of seven possible gifts (chocolate, tea sets, etc)."
s1034,"One of the boyfriends wrote to me and said, Shes not mad but Cynthia found out.","One of the boyfriends wrote to me and said, Listen, shes not mad but Cynthia found out.","One of the boyfriends wrote to me and said, Listen, shes not mad but Cynthia found out.
 |<endoflevelone>| 
One of the boyfriends wrote to me and said, Shes not mad but Cynthia found out."
s1035,"I think, after youve been married for a longer time, you dont keep many secrets.","I think, after youve been married for a while, you dont keep many secrets.","I think, after youve been married for a while, you dont keep many secrets.
 |<endoflevelone>| 
I think, after youve been married for a longer time, you dont keep many secrets."
s1036,"When he first started his company, he attached tags that said BetterBoyfriend.me to flower bouquets and went to the Mission District in San Francisco.","When he first started his company, he attached tags that said BetterBoyfriend.me to flower bouquets and set off for Dolores Park in Mission District, San Francisco.","When he first started his company, he attached tags that said BetterBoyfriend.me to flower bouquets and set off for Dolores Park in Mission District, San Francisco.
 |<endoflevelone>| 
When he first started his company, he attached tags that said BetterBoyfriend.me to flower bouquets and went to the Mission District in San Francisco."
s1037,I looked for couples and gave the flowers to the girl but the boyfriends didnt like that.,I looked for couples and gave the bouquet to the girl but the boyfriends didnt like that.,"I looked for couples and gave the bouquet to the girl but the boyfriends didnt like that.
 |<endoflevelone>| 
I looked for couples and gave the flowers to the girl but the boyfriends didnt like that."
s1038,"As temperatures rise and oceans become warmer, there will be big changes in annual rainfall in tropical and subtropical regions, says the Intergovernmental Panel on Climate Change (IPCC) report, released in Stockholm and published online in September 2013.","As temperatures rise and oceans warm, tropical and subtropical regions will see sharp changes in annual rainfall, says the Intergovernmental Panel on Climate Change (IPCC) report, released in Stockholm and published online in September.","As temperatures rise and oceans warm, tropical and subtropical regions will see sharp changes in annual rainfall, says the Intergovernmental Panel on Climate Change (IPCC) report, released in Stockholm and published online in September.
 |<endoflevelone>| 
As temperatures rise and oceans become warmer, there will be big changes in annual rainfall in tropical and subtropical regions, says the Intergovernmental Panel on Climate Change (IPCC) report, released in Stockholm and published online in September 2013."
s1039,East Africa can expect more short rainfalls and west Africa should expect heavier monsoons.,East Africa can expect increased short rainfalls and west Africa should expect heavier monsoons.,"East Africa can expect increased short rainfalls and west Africa should expect heavier monsoons.
 |<endoflevelone>| 
East Africa can expect more short rainfalls and west Africa should expect heavier monsoons."
s104,"Early on Saturday morning, he reached the summit of Nuptse, the first of the three main summits in the Everest horseshoe.","Early on Saturday morning, he reached the summit of Nuptse, the first and lowest of the three main summits in the Everest horseshoe that surrounds the glaciated valley called the Western Cwm.","Early on Saturday morning, he reached the summit of Nuptse, the first and lowest of the three main summits in the Everest horseshoe that surrounds the glaciated valley called the Western Cwm.
 |<endoflevelone>| 
Early on Saturday morning, he reached the summit of Nuptse, the first of the three main summits in the Everest horseshoe."
s1040,"Burma, Bangladesh and India can expect stronger cyclones; elsewhere in southern Asia, there will probably be heavier summer rainfalls.","Burma, Bangladesh and India can expect stronger cyclones; elsewhere in southern Asia, heavier summer rains are anticipated.","Burma, Bangladesh and India can expect stronger cyclones; elsewhere in southern Asia, heavier summer rains are anticipated.
 |<endoflevelone>| 
Burma, Bangladesh and India can expect stronger cyclones; elsewhere in southern Asia, there will probably be heavier summer rainfalls."
s1041,"Indonesia may receive less rainfall between July and October, but the coastal regions around the south China Sea and Gulf of Thailand can expect more rainfall when cyclones hit the land.","Indonesia may receive less rainfall between July and October, but the coastal regions around the south China Sea and Gulf of Thailand can expect increased rainfall extremes when cyclones hit the land.","Indonesia may receive less rainfall between July and October, but the coastal regions around the south China Sea and Gulf of Thailand can expect increased rainfall extremes when cyclones hit the land.
 |<endoflevelone>| 
Indonesia may receive less rainfall between July and October, but the coastal regions around the south China Sea and Gulf of Thailand can expect more rainfall when cyclones hit the land."
s1042,"But many millions of people living in the developing worlds great cities, including Lagos and Calcutta, are in danger.","Nevertheless, there will be signifi cant geographical variations; many millions of people living in the developing worlds great cities, including Lagos and Calcutta, are threatened.","Nevertheless, there will be signifi cant geographical variations; many millions of people living in the developing worlds great cities, including Lagos and Calcutta, are threatened.
 |<endoflevelone>| 
But many millions of people living in the developing worlds great cities, including Lagos and Calcutta, are in danger."
s1043,"Weather disasters are also more likely in a warmer world, the report says.","Weather disasters are also more likely in a warmer world, the report suggests.","Weather disasters are also more likely in a warmer world, the report suggests.
 |<endoflevelone>| 
Weather disasters are also more likely in a warmer world, the report says."
s1044,They said the number of people at risk of hunger might increase by 10% to 20% by 2050.,They said the number of people at risk of hunger might rise by 10% to 20% by 2050.,"They said the number of people at risk of hunger might rise by 10% to 20% by 2050.
 |<endoflevelone>| 
They said the number of people at risk of hunger might increase by 10% to 20% by 2050."
s1045,"The changing climate is already hurting the fi ght against hunger, and it looks like it will get worse, said Oxfam.","The changing climate is already jeopardizing gains in the fi ght against hunger, and it looks like it will get worse, said Oxfam.","The changing climate is already jeopardizing gains in the fi ght against hunger, and it looks like it will get worse, said Oxfam.
 |<endoflevelone>| 
The changing climate is already hurting the fi ght against hunger, and it looks like it will get worse, said Oxfam."
s1046,The top referees of the future smile when you ask them this question.,The elite football referees of the future smile when you ask them this question.,"The elite football referees of the future smile when you ask them this question.
 |<endoflevelone>| 
The top referees of the future smile when you ask them this question."
s1047,"That is quite significant because, when you talk to referees, it is obvious that they always support each other.","That is quite significant because, when you talk to referees, it is obvious that supporting each other through thick and thin is fundamental.","That is quite significant because, when you talk to referees, it is obvious that supporting each other through thick and thin is fundamental.
 |<endoflevelone>| 
That is quite significant because, when you talk to referees, it is obvious that they always support each other."
s1048,Why do referees spend hundreds of hours driving around the country?,Why spend hundreds of hours driving up and down the country?,"Why spend hundreds of hours driving up and down the country?
 |<endoflevelone>| 
Why do referees spend hundreds of hours driving around the country?"
s1049,He gets what all referees want every time they referee a match.,He gets what all referees hope for every time they referee a match.,"He gets what all referees hope for every time they referee a match.
 |<endoflevelone>| 
He gets what all referees want every time they referee a match."
s105,"Later that day, he climbed to the summit of Everest, and reached the top in complete darkness early on Sunday.","That same day, he climbed up to the summit of Everest itself, reaching the top in complete darkness early on Sunday.","That same day, he climbed up to the summit of Everest itself, reaching the top in complete darkness early on Sunday.
 |<endoflevelone>| 
Later that day, he climbed to the summit of Everest, and reached the top in complete darkness early on Sunday."
s1050,"PGMOLs chief, Mike Riley, was there, and also his colleague Steve Dunn, watching every move the officials made.","PGMOLs chief, Mike Riley, was in attendance, along with his colleague Steve Dunn, watching every significant move the officials make.","PGMOLs chief, Mike Riley, was in attendance, along with his colleague Steve Dunn, watching every significant move the officials make.
 |<endoflevelone>| 
PGMOLs chief, Mike Riley, was there, and also his colleague Steve Dunn, watching every move the officials made."
s1051,"A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, went to another level-5 match to check another young referee  John Brooks.","A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, made their way to another level-5 match to watch another young referee  John Brooks.","A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, made their way to another level-5 match to watch another young referee  John Brooks.
 |<endoflevelone>| 
A few weeks earlier, Riley, Dunn and another former referee, Peter Jones, went to another level-5 match to check another young referee  John Brooks."
s1052,"A little later, the football club secretary arrived to pay the officials for their time  the match fee at level 5 is 95 so it is clear that these men do not do it for the money.","A little later, the football club secretary arrived with envelopes to pay the officials for their time  the match fee at level 5 is 95 so it is clear that these men do not do it for the money.","A little later, the football club secretary arrived with envelopes to pay the officials for their time  the match fee at level 5 is 95 so it is clear that these men do not do it for the money.
 |<endoflevelone>| 
A little later, the football club secretary arrived to pay the officials for their time  the match fee at level 5 is 95 so it is clear that these men do not do it for the money."
s1053,How does he feel when he watches football on TV and a referee is attacked?,How does he feel watching football on TV when a referee gets vilified?,"How does he feel watching football on TV when a referee gets vilified?
 |<endoflevelone>| 
How does he feel when he watches football on TV and a referee is attacked?"
s1054,"The former referees agree that the backup, education and tools that todays referees have is very different from what they experienced in the past.","The former referees agree that the backup, education and tools that todays referees have is very different from what they experienced in their own days.","The former referees agree that the backup, education and tools that todays referees have is very different from what they experienced in their own days.
 |<endoflevelone>| 
The former referees agree that the backup, education and tools that todays referees have is very different from what they experienced in the past."
s1055,"Riley, as a young referee, bought himself books on psychology and nutrition because there was no information on offer to him at all.","Riley, as a young referee, bought himself books on psychology and nutrition as there was no information on offer to him at all.","Riley, as a young referee, bought himself books on psychology and nutrition as there was no information on offer to him at all.
 |<endoflevelone>| 
Riley, as a young referee, bought himself books on psychology and nutrition because there was no information on offer to him at all."
s1056,He also has the support of a sports psychologist and an exercise regime to help him run 11km during a game.,"He also has the support of a sports psychologist, Liam Slack, for regular guidance and an exercise regime to help him handle the 11km he runs during a game.","He also has the support of a sports psychologist, Liam Slack, for regular guidance and an exercise regime to help him handle the 11km he runs during a game.
 |<endoflevelone>| 
He also has the support of a sports psychologist and an exercise regime to help him run 11km during a game."
s1057,But the mirror was 5C cooler than the air temperature.,"However, the mirror was up to 5C cooler than the surrounding air temperature.","However, the mirror was up to 5C cooler than the surrounding air temperature.
 |<endoflevelone>| 
But the mirror was 5C cooler than the air temperature."
s1058,Buildings warm up in different ways.,Buildings warm up in a number of different ways.,"Buildings warm up in a number of different ways.
 |<endoflevelone>| 
Buildings warm up in different ways."
s1059,Hot-water boilers and cooking areas release heat.,Hot-water boilers and cooking areas release heat into their immediate surroundings.,"Hot-water boilers and cooking areas release heat into their immediate surroundings.
 |<endoflevelone>| 
Hot-water boilers and cooking areas release heat."
s106,"For the first time since the late 1990s, there were fixed ropes on all three mountains.","For the first time since the late 1990s, there were fixed ropes on all three mountains, he says.","For the first time since the late 1990s, there were fixed ropes on all three mountains, he says.
 |<endoflevelone>| 
For the first time since the late 1990s, there were fixed ropes on all three mountains."
s1060,The Stanford mirror re ects 97% of the visible light that falls on it.,The Stanford mirror was designed to re ect 97% of the visible light that falls on it.,"The Stanford mirror was designed to re ect 97% of the visible light that falls on it.
 |<endoflevelone>| 
The Stanford mirror re ects 97% of the visible light that falls on it."
s1061,"When the mirror is warmed up, it releases heat at a speci c wavelength of infrared light that goes easily through the atmosphere and out into space.","When the mirror is warmed up, it releases heat at a speci c wavelength of infrared light that passes easily through the atmosphere and out into space.","When the mirror is warmed up, it releases heat at a speci c wavelength of infrared light that passes easily through the atmosphere and out into space.
 |<endoflevelone>| 
When the mirror is warmed up, it releases heat at a speci c wavelength of infrared light that goes easily through the atmosphere and out into space."
s1062,The mirror is made from several layers of very thin materials.,The mirror is built from several layers of very thin materials.,"The mirror is built from several layers of very thin materials.
 |<endoflevelone>| 
The mirror is made from several layers of very thin materials."
s1063,"Im really excited by this, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.","Im really excited by the potential it has, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.","Im really excited by the potential it has, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.
 |<endoflevelone>| 
Im really excited by this, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology."
s1064,"Im really excited by this, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.","Im really excited by the potential it has, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.","Im really excited by the potential it has, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.
 |<endoflevelone>| 
Im really excited by this, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology."
s1065,"Im really excited by this, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.","Im really excited by the potential it has, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.","Im really excited by the potential it has, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology.
 |<endoflevelone>| 
Im really excited by this, said Marin Solja__i__, a physicist at the Massachusetts Institute of Technology."
s1066,You could use the mirrors on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.,You could use this on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.,"You could use this on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.
 |<endoflevelone>| 
You could use the mirrors on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all."
s1067,You could use the mirrors on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.,You could use this on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.,"You could use this on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.
 |<endoflevelone>| 
You could use the mirrors on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all."
s1068,You could use the mirrors on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.,You could use this on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.,"You could use this on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all.
 |<endoflevelone>| 
You could use the mirrors on buildings and spend much less money on air conditioning or maybe you wouldnt need it at all."
s1069,You could put the mirrors on top of shopping malls.     ,You could put it on top of shopping malls.,"You could put it on top of shopping malls.
 |<endoflevelone>| 
You could put the mirrors on top of shopping malls.     "
s107,asked Cool to look forward and imagine what top climbers might do 60 years from now.,Ive asked Cool to look forward and imagine what top climbers might be doing 60 years from now.,"Ive asked Cool to look forward and imagine what top climbers might be doing 60 years from now.
 |<endoflevelone>| 
asked Cool to look forward and imagine what top climbers might do 60 years from now."
s1070,You could put the mirrors on top of shopping malls.     ,You could put it on top of shopping malls.,"You could put it on top of shopping malls.
 |<endoflevelone>| 
You could put the mirrors on top of shopping malls.     "
s1071,You could put the mirrors on top of shopping malls.     ,You could put it on top of shopping malls.    ,"You could put it on top of shopping malls.    
 |<endoflevelone>| 
You could put the mirrors on top of shopping malls.     "
s1072,The project is a key part of Moroccos plans to use its deserts to become a global solar superpower.,The project is a key part of Moroccos ambitions to use its deserts to become a global solar superpower.,"The project is a key part of Moroccos ambitions to use its deserts to become a global solar superpower.
 |<endoflevelone>| 
The project is a key part of Moroccos plans to use its deserts to become a global solar superpower."
s1073,"When they are  nished, the four plants at Ouarzazate will be as big as Moroccos capital city, Rabat, and make 580 mega-watts of electricity, enough for a million homes.","When they are  nished, the four plants at Ouarzazate will need a space as big as Moroccos capital city, Rabat, and generate 580 mega-watts of electricity, enough to power a million homes.","When they are  nished, the four plants at Ouarzazate will need a space as big as Moroccos capital city, Rabat, and generate 580 mega-watts of electricity, enough to power a million homes.
 |<endoflevelone>| 
When they are  nished, the four plants at Ouarzazate will be as big as Moroccos capital city, Rabat, and make 580 mega-watts of electricity, enough for a million homes."
